vendor,sku,name,description,price_brl,source_pdf,source_page,handle,price_amp,price_ort,price_final_brl,price_confidence,image_url,match_url_amp,match_url_ort
ProKinetics,4W9000-06,"Liner SUPREME TT 6 mm com conex, revest. bege (un)","-...-H Liner SUPREME TT 6 mm com conex, revest. bege (un) 1.602,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,1,prokinetics-liner-supreme-tt-6-mm-com-conex-revest-bege-un,,,,none,,,
ProKinetics,4W9000-09,"Liner SUPREME TT 9 mm com conex, revest. bege (un)","-...-H Liner SUPREME TT 9 mm com conex, revest. bege (un) 1.645,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,1,prokinetics-liner-supreme-tt-9-mm-com-conex-revest-bege-un,,,,none,,,
ProKinetics,4W9500-06,"Liner SUPREME TT 9 mm, sem conex, revest. bege (un)","-...-H Liner SUPREME TT 9 mm, sem conex, revest. bege (un) 1.512,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,1,prokinetics-liner-supreme-tt-9-mm-sem-conex-revest-bege-un,,,,none,,,
ProKinetics,4W9500-09,"Liner SUPREME TT 6 mm, sem conex, revest. bege (un)","-...-H Liner SUPREME TT 6 mm, sem conex, revest. bege (un) 1.555,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,1,prokinetics-liner-supreme-tt-6-mm-sem-conex-revest-bege-un,,,,none,,,
ProKinetics,4W9700-06-L,"Liner VACUUM TT 6 mm, sem conex, revest. verde (un)","e IL Liner VACUUM TT 6 mm, sem conex, revest. verde (un) 1.780,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,1,prokinetics-liner-vacuum-tt-6-mm-sem-conex-revest-verde-un,,,,none,,,
ProKinetics,4W90TF-03,"Liner SUPREME TF 3 mm com conex, revest. bege (un)","-...-H Liner SUPREME TF 3 mm com conex, revest. bege (un) 1.735,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,1,prokinetics-liner-supreme-tf-3-mm-com-conex-revest-bege-un,,,,none,,,
ProKinetics,4W95TF-03,"Liner SUPREME TF 3 mm sem conex, revest. bege (un)","-...-H Liner SUPREME TF 3 mm sem conex, revest. bege (un) 1.512,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,1,prokinetics-liner-supreme-tf-3-mm-sem-conex-revest-bege-un,,,,none,,,
ProKinetics,6M10-35,"/45/55 Acessório para coto transtibial, algodão, compr.35, 45, 55 cm (un)","/45/55 Acessório para coto transtibial, algodão, compr.35, 45, 55 cm (un) 16,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,1,prokinetics-45-55-acessorio-para-coto-transtibial-algodao-compr-35-45-55-cm-un,,,,none,,,
ProKinetics,742-75-P,"/M/L Articulação TAMARACK Dorsiflexão, durômetro 75 (par)","/M/L Articulação TAMARACK Dorsiflexão, durômetro 75 (par) 269,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2,prokinetics-m-l-articulacao-tamarack-dorsiflexao-durometro-75-par,,,,none,,,
ProKinetics,742-85-P,"/M/L Articulação TAMARACK Dorsiflexão, durômetro 85 (par)","/M/L Articulação TAMARACK Dorsiflexão, durômetro 85 (par) 269,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2,prokinetics-m-l-articulacao-tamarack-dorsiflexao-durometro-85-par,,,,none,,,
ProKinetics,742-95-P,"/M/L Articulação TAMARACK Dorsiflexão, durômetro 95 (par)","/M/L Articulação TAMARACK Dorsiflexão, durômetro 95 (par) 269,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2,prokinetics-m-l-articulacao-tamarack-dorsiflexao-durometro-95-par,,,,none,,,
ProKinetics,749S-BEIGE,Revestimento anti-atrito SHEARBAN® bege (un),"Revestimento anti-atrito SHEARBAN® bege (un) 255,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2,prokinetics-revestimento-anti-atrito-shearban-r-bege-un,,,,none,,,
ProKinetics,1002-A4L,"Ou A4R Artic. de joelho trava ANEL, extra grande, aço, hastes alum (par)","ou A4R Artic. de joelho trava ANEL, extra grande, aço, hastes alum (par) 1.672,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2,prokinetics-ou-a4r-artic-de-joelho-trava-anel-extra-grande-aco-hastes-alum-par,,850.00,850.00,single,,,https://www.lojaortopedica.com.br/produto/joelheira-de-vedacao-4w80-supreme
ProKinetics,1002-A6L,"Ou A6R Artic. de joelho trava ANEL, grande, aço, hastes alum (par)","ou A6R Artic. de joelho trava ANEL, grande, aço, hastes alum (par) 1.672,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2,prokinetics-ou-a6r-artic-de-joelho-trava-anel-grande-aco-hastes-alum-par,,850.00,850.00,single,,,https://www.lojaortopedica.com.br/produto/joelheira-de-vedacao-4w80-supreme
ProKinetics,1002-A6S,"Artic. de joelho trava ANEL, grande, aço, hastes AÇO (par)","Artic. de joelho trava ANEL, grande, aço, hastes AÇO (par) 1.739,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2,prokinetics-artic-de-joelho-trava-anel-grande-aco-hastes-aco-par,,850.00,850.00,single,,,https://www.lojaortopedica.com.br/produto/joelheira-de-vedacao-4w80-supreme
ProKinetics,1002-B6L,"Ou B6R Artic. de joelho trava ANEL, média, aço, hastes alum (par)","ou B6R Artic. de joelho trava ANEL, média, aço, hastes alum (par) 1.640,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2,prokinetics-ou-b6r-artic-de-joelho-trava-anel-media-aco-hastes-alum-par,,850.00,850.00,single,,,https://www.lojaortopedica.com.br/produto/joelheira-de-vedacao-4w80-supreme
ProKinetics,1002-C8,"Artic. de joelho trava ANEL, peq., hastes alum (par)","Artic. de joelho trava ANEL, peq., hastes alum (par) 1.606,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2,prokinetics-artic-de-joelho-trava-anel-peq-hastes-alum-par,,,,none,,,
ProKinetics,1003-A4L,"Ou A4R Artic. de joelho trava SUIÇA, extra grande, aço, hastes alum (par)","ou A4R Artic. de joelho trava SUIÇA, extra grande, aço, hastes alum (par) 1.916,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2,prokinetics-ou-a4r-artic-de-joelho-trava-suica-extra-grande-aco-hastes-alum-par,,850.00,850.00,single,,,https://www.lojaortopedica.com.br/produto/joelheira-de-vedacao-4w80-supreme
ProKinetics,1003-A6L,"Ou A6R Artic. de joelho trava SUIÇA, grande, aço, hastes alum. (par)","ou A6R Artic. de joelho trava SUIÇA, grande, aço, hastes alum. (par) 1.916,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2,prokinetics-ou-a6r-artic-de-joelho-trava-suica-grande-aco-hastes-alum-par,,850.00,850.00,single,,,https://www.lojaortopedica.com.br/produto/joelheira-de-vedacao-4w80-supreme
ProKinetics,1003-B6L,"Ou B6R Artic. de joelho trava SUIÇA, média, aço, hastes alum (par)","ou B6R Artic. de joelho trava SUIÇA, média, aço, hastes alum (par) 1.884,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2,prokinetics-ou-b6r-artic-de-joelho-trava-suica-media-aco-hastes-alum-par,,850.00,850.00,single,,,https://www.lojaortopedica.com.br/produto/joelheira-de-vedacao-4w80-supreme
ProKinetics,1005-A6,"Artic. de joelho LIVRE, grande, aço, hastes alum. (par)","Artic. de joelho LIVRE, grande, aço, hastes alum. (par) 1.629,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2,prokinetics-artic-de-joelho-livre-grande-aco-hastes-alum-par,,850.00,850.00,single,,,https://www.lojaortopedica.com.br/produto/joelheira-de-vedacao-4w80-supreme
ProKinetics,1005-A6S,"Artic. de joelho LIVRE, grande, aço, hastes AÇO (par)","Artic. de joelho LIVRE, grande, aço, hastes AÇO (par) 1.671,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2,prokinetics-artic-de-joelho-livre-grande-aco-hastes-aco-par,,850.00,850.00,single,,,https://www.lojaortopedica.com.br/produto/joelheira-de-vedacao-4w80-supreme
