vendor,sku,name,description,price_brl,source_pdf,source_page
ProKinetics,4W9000-06,"-...-H Liner SUPREME TT 6 mm com conex, revest. bege (un) 1.602,00","-...-H Liner SUPREME TT 6 mm com conex, revest. bege (un) 1.602,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,1
ProKinetics,4W9000-09,"-...-H Liner SUPREME TT 9 mm com conex, revest. bege (un) 1.645,00","-...-H Liner SUPREME TT 9 mm com conex, revest. bege (un) 1.645,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,1
ProKinetics,4W9500-06,"-...-H Liner SUPREME TT 9 mm, sem conex, revest. bege (un) 1.512,00","-...-H Liner SUPREME TT 9 mm, sem conex, revest. bege (un) 1.512,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,1
ProKinetics,4W9500-09,"-...-H Liner SUPREME TT 6 mm, sem conex, revest. bege (un) 1.555,00","-...-H Liner SUPREME TT 6 mm, sem conex, revest. bege (un) 1.555,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,1
ProKinetics,4W9700-06-L,"e IL Liner VACUUM TT 6 mm, sem conex, revest. verde (un) 1.780,00","e IL Liner VACUUM TT 6 mm, sem conex, revest. verde (un) 1.780,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,1
ProKinetics,4W90TF-03,"-...-H Liner SUPREME TF 3 mm com conex, revest. bege (un) 1.735,00","-...-H Liner SUPREME TF 3 mm com conex, revest. bege (un) 1.735,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,1
ProKinetics,4W95TF-03,"-...-H Liner SUPREME TF 3 mm sem conex, revest. bege (un) 1.512,00","-...-H Liner SUPREME TF 3 mm sem conex, revest. bege (un) 1.512,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,1
ProKinetics,6M10-35,"/45/55 Acessório para coto transtibial, algodão, compr.35, 45, 55 cm (un) 16,00","/45/55 Acessório para coto transtibial, algodão, compr.35, 45, 55 cm (un) 16,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,1
ProKinetics,742-75-P,"/M/L Articulação TAMARACK Dorsiflexão, durômetro 75 (par) 269,00","/M/L Articulação TAMARACK Dorsiflexão, durômetro 75 (par) 269,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,742-85-P,"/M/L Articulação TAMARACK Dorsiflexão, durômetro 85 (par) 269,00","/M/L Articulação TAMARACK Dorsiflexão, durômetro 85 (par) 269,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,742-95-P,"/M/L Articulação TAMARACK Dorsiflexão, durômetro 95 (par) 269,00","/M/L Articulação TAMARACK Dorsiflexão, durômetro 95 (par) 269,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,749S-BEIGE,"Revestimento anti-atrito SHEARBAN® bege (un) 255,00","Revestimento anti-atrito SHEARBAN® bege (un) 255,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1002-A4L,"ou A4R Artic. de joelho trava ANEL, extra grande, aço, hastes alum (par) 1.672,00","ou A4R Artic. de joelho trava ANEL, extra grande, aço, hastes alum (par) 1.672,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1002-A6L,"ou A6R Artic. de joelho trava ANEL, grande, aço, hastes alum (par) 1.672,00","ou A6R Artic. de joelho trava ANEL, grande, aço, hastes alum (par) 1.672,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1002-A6S,"Artic. de joelho trava ANEL, grande, aço, hastes AÇO (par) 1.739,00","Artic. de joelho trava ANEL, grande, aço, hastes AÇO (par) 1.739,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1002-B6L,"ou B6R Artic. de joelho trava ANEL, média, aço, hastes alum (par) 1.640,00","ou B6R Artic. de joelho trava ANEL, média, aço, hastes alum (par) 1.640,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1002-C8,"Artic. de joelho trava ANEL, peq., hastes alum (par) 1.606,00","Artic. de joelho trava ANEL, peq., hastes alum (par) 1.606,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1003-A4L,"ou A4R Artic. de joelho trava SUIÇA, extra grande, aço, hastes alum (par) 1.916,00","ou A4R Artic. de joelho trava SUIÇA, extra grande, aço, hastes alum (par) 1.916,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1003-A6L,"ou A6R Artic. de joelho trava SUIÇA, grande, aço, hastes alum. (par) 1.916,00","ou A6R Artic. de joelho trava SUIÇA, grande, aço, hastes alum. (par) 1.916,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1003-B6L,"ou B6R Artic. de joelho trava SUIÇA, média, aço, hastes alum (par) 1.884,00","ou B6R Artic. de joelho trava SUIÇA, média, aço, hastes alum (par) 1.884,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1005-A6,"Artic. de joelho LIVRE, grande, aço, hastes alum. (par) 1.629,00","Artic. de joelho LIVRE, grande, aço, hastes alum. (par) 1.629,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1005-A6S,"Artic. de joelho LIVRE, grande, aço, hastes AÇO (par) 1.671,00","Artic. de joelho LIVRE, grande, aço, hastes AÇO (par) 1.671,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1005-B6,"Artic. de joelho LIVRE, média, aço, hastes alum. (par) 1.544,00","Artic. de joelho LIVRE, média, aço, hastes alum. (par) 1.544,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1006-A6,"Artic. de joelho trava ANEL, c/ajuste EXT, grande, hastes alum (par) 2.262,00","Artic. de joelho trava ANEL, c/ajuste EXT, grande, hastes alum (par) 2.262,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1006-B6,"Artic. de joelho trava ANEL, c/ajuste EXT, média, hastes alum (par) 2.222,00","Artic. de joelho trava ANEL, c/ajuste EXT, média, hastes alum (par) 2.222,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1008-A6,"Artic. de joelho LIVRE, eixo posterior, grande, aço, hastes alum (par) 1.720,00","Artic. de joelho LIVRE, eixo posterior, grande, aço, hastes alum (par) 1.720,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1008-A6S,"Artic. de joelho LIVRE, eixo posterior, grande, aço, hastes AÇO (par) 1.739,00","Artic. de joelho LIVRE, eixo posterior, grande, aço, hastes AÇO (par) 1.739,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1008-B6,"Artic. de joelho LIVRE, eixo posterior, média, aço, hastes alum (par) 1.720,00","Artic. de joelho LIVRE, eixo posterior, média, aço, hastes alum (par) 1.720,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1009-A6,"Artic. de joelho POLICÊNTRICA, grande, aço, hastes alum (par) 2.114,00","Artic. de joelho POLICÊNTRICA, grande, aço, hastes alum (par) 2.114,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1009-A6S,"Artic. de joelho POLICÊNTRICA, grande, aço, hastes AÇO (par) 2.145,00","Artic. de joelho POLICÊNTRICA, grande, aço, hastes AÇO (par) 2.145,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1009-B6,"Artic. de joelho POLICÊNTRICA, média, aço, hastes alum. (par) 2.062,00","Artic. de joelho POLICÊNTRICA, média, aço, hastes alum. (par) 2.062,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1010-A6,"Artic. de joelho trava ANEL c/ajust.flex/ext, grande, aço, hastes (par) 2.599,00","Artic. de joelho trava ANEL c/ajust.flex/ext, grande, aço, hastes (par) 2.599,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1010-B6,"Artic. de joelho trava ANEL c/ajust.flex/ext, média, aço, hastes (par) 2.568,00","Artic. de joelho trava ANEL c/ajust.flex/ext, média, aço, hastes (par) 2.568,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1017-A38,"Artic. de joelho com trava SUIÇA, extra grande, aço, hastes alum (par) 4.821,00","Artic. de joelho com trava SUIÇA, extra grande, aço, hastes alum (par) 4.821,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1017-A6,"ou B6 Artic. de joelho com trava SUIÇA, grande ou média, aço, hastes alum 2.114,00","ou B6 Artic. de joelho com trava SUIÇA, grande ou média, aço, hastes alum 2.114,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1017-A6S,"Artic. de joelho com trava SUIÇA, grande, aço, hastes aÇO (par) 2.143,00","Artic. de joelho com trava SUIÇA, grande, aço, hastes aÇO (par) 2.143,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1022-AL,"ou AR Artic. quadril trava anel, grande, ESQ. ou DIR. (un) 967,00","ou AR Artic. quadril trava anel, grande, ESQ. ou DIR. (un) 967,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1022-BL,"ou BR Artic. quadril trava anel, média, ESQ. ou DIR. (un) 967,00","ou BR Artic. quadril trava anel, média, ESQ. ou DIR. (un) 967,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1022-CL,"ou CR Artic. quadril trava anel, pequena, ESQ. ou DIR. (un) 967,00","ou CR Artic. quadril trava anel, pequena, ESQ. ou DIR. (un) 967,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1025-AL,"ou AR Artic. quadril livre, grande, ESQ. ou DIR. (un) 857,00","ou AR Artic. quadril livre, grande, ESQ. ou DIR. (un) 857,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
ProKinetics,1025-BL,"ou BR Artic. quadril livre, média, ESQ. ou DIR. (un) 857,00","ou BR Artic. quadril livre, média, ESQ. ou DIR. (un) 857,00",,2026.01 TABELA PROKINETICS JAN 2026.pdf,2
