Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
ossur-liner-transtibial-iceross-comfort-locking-ossur,Liner Transtibial Iceross Comfort Locking Ossur,<p>Liner Transtibial Iceross Comfort Locking Ossur — distribuído pela minha prótese com nota fiscal e garantia de origem da Össur.</p>,Össur,Health & Beauty > Health Care > Mobility & Accessibility,,Össur,TRUE,Código,ICEROSS,ICEROSS,shopify,0,deny,manual,3766.63,TRUE,TRUE,https://cdn.awsli.com.br/800x800/1895/1895256/produto/96074893/b25f0b5263.jpg,Liner Transtibial Iceross Comfort Locking Ossur,active
ossur-liner-transtibial-iceross-comfort-locking-ossur,,,,,,,,Código,LOCKING,LOCKING,shopify,0,deny,manual,3766.63,TRUE,TRUE,,,
ottobock-capa-pe-terion-2c12-direito-e-esquerdo-ottobock,Capa Pé Terion 2C12 Direito e Esquerdo Ottobock,<p>Capa Pé Terion 2C12 Direito e Esquerdo Ottobock — distribuído pela minha prótese com nota fiscal e garantia de origem da Ottobock.</p>,Ottobock,Health & Beauty > Health Care > Mobility & Accessibility,,Ottobock,TRUE,Código,2C1,2C1,shopify,0,deny,manual,988.37,TRUE,TRUE,https://cdn.awsli.com.br/800x800/1895/1895256/produto/180062997/fe4e15437a.jpg,Capa Pé Terion 2C12 Direito e Esquerdo Ottobock,active
ottobock-capa-pe-terion-2c12-direito-e-esquerdo-ottobock,,,,,,,,Código,2C12,2C12,shopify,0,deny,manual,988.37,TRUE,TRUE,,,
ottobock-adaptador-de-rotacao-4r57-wr-ottobock,Adaptador de rotação 4R57=WR - OTTOBOCK,<p>Adaptador de rotação 4R57=WR - OTTOBOCK — distribuído pela minha prótese com nota fiscal e garantia de origem da Ottobock.</p>,Ottobock,Health & Beauty > Health Care > Mobility & Accessibility,,Ottobock,TRUE,Código,4R57,4R57,shopify,0,deny,manual,6310.40,TRUE,TRUE,https://cdn.awsli.com.br/800x800/1895/1895256/produto/384838273/4r57-wr-1xbnwr0ejz.jpg,Adaptador de rotação 4R57=WR - OTTOBOCK,active
ottobock-adaptador-de-rotacao-4r57-wr-ottobock,,,,,,,,Código,4R57=WR,4R57=WR,shopify,0,deny,manual,6310.40,TRUE,TRUE,,,
ottobock-joelho-policentrico-3r60-ottobock,Joelho Policêntrico 3R60 Ottobock,<p>Joelho Policêntrico 3R60 Ottobock — distribuído pela minha prótese com nota fiscal e garantia de origem da Ottobock.</p>,Ottobock,Health & Beauty > Health Care > Mobility & Accessibility,,Ottobock,TRUE,Código,3R60,3R60,shopify,0,deny,manual,21795.03,TRUE,TRUE,https://cdn.awsli.com.br/800x800/1895/1895256/produto/307788053/joelho-3r60-9mb3732vr6.jpg,Joelho Policêntrico 3R60 Ottobock,active
ottobock-joelho-policentrico-3r60-ottobock,,,,,,,,Código,3R6,3R6,shopify,0,deny,manual,21795.03,TRUE,TRUE,,,
polior-adaptador-modular-tubular-reto-com-abracadeira-mo-06ai-polior,Adaptador Modular Tubular Reto com Abraçadeira MO-06Ai Polior,<p>Adaptador Modular Tubular Reto com Abraçadeira MO-06Ai Polior — distribuído pela minha prótese com nota fiscal e garantia de origem da Polior.</p>,Polior,Health & Beauty > Health Care > Mobility & Accessibility,,Polior,TRUE,Código,MO-06AI,MO-06AI,shopify,0,deny,manual,481.79,TRUE,TRUE,https://cdn.awsli.com.br/800x800/1895/1895256/produto/302338770/adaptador-modular-tubular-reto-com-abra-adeira-mo-06ai-polior-v58o36g0ml.jpg,Adaptador Modular Tubular Reto com Abraçadeira MO-06Ai Polior,active
polior-adaptador-modular-tubular-reto-com-abracadeira-mo-06ai-polior,,,,,,,,Código,MO-06,MO-06,shopify,0,deny,manual,435.89,TRUE,TRUE,,,
polior-adaptador-modular-tubular-reto-com-abracadeira-mo-06ai-polior,,,,,,,,Código,MO-06A,MO-06A,shopify,0,deny,manual,435.89,TRUE,TRUE,,,
polior-adaptador-modular-tubular-reto-linha-infantil-mo-08ai-polior,Adaptador Modular Tubular Reto - Linha Infantil - MO-08Ai Polior,<p>Adaptador Modular Tubular Reto - Linha Infantil - MO-08Ai Polior — distribuído pela minha prótese com nota fiscal e garantia de origem da Polior.</p>,Polior,Health & Beauty > Health Care > Mobility & Accessibility,,Polior,TRUE,Código,MO-08AI,MO-08AI,shopify,0,deny,manual,629.81,TRUE,TRUE,https://cdn.awsli.com.br/800x800/1895/1895256/produto/302337681/adaptador-modular-tubular-reto---linha-infantil---mo-08ai-polior-kbkferkz4o.png,Adaptador Modular Tubular Reto - Linha Infantil - MO-08Ai Polior,active
polior-adaptador-modular-tubular-reto-linha-infantil-mo-08ai-polior,,,,,,,,Código,MO-08,MO-08,shopify,0,deny,manual,869.61,TRUE,TRUE,,,
polior-adaptador-modular-tubular-reto-linha-infantil-mo-08ai-polior,,,,,,,,Código,MO-08A,MO-08A,shopify,0,deny,manual,869.61,TRUE,TRUE,,,
prokinetics-liner-supreme-tt-com-conex-revest-bege-un,"Liner SUPREME TT com conex, revest. bege (un)","<p>Liner SUPREME TT com conex, revest. bege (un) — distribuído pela minha prótese com nota fiscal e garantia de origem da ProKinetics.</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,,ProKinetics,TRUE,Espessura,6 mm,4W9000-06,shopify,0,deny,manual,,TRUE,TRUE,,"Liner SUPREME TT com conex, revest. bege (un)",draft
prokinetics-liner-supreme-tt-com-conex-revest-bege-un,,,,,,,,Espessura,9 mm,4W9000-09,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-liner-supreme-tt-com-conex-revest-bege-un,,,,,,,,Espessura,9 mm (4W9500-06),4W9500-06,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-liner-supreme-tt-com-conex-revest-bege-un,,,,,,,,Espessura,6 mm (4W9500-09),4W9500-09,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-liner-supreme-tt-com-conex-revest-bege-un,,,,,,,,Espessura,3 mm,4W90TF-03,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-liner-supreme-tt-com-conex-revest-bege-un,,,,,,,,Espessura,3 mm (4W95TF-03),4W95TF-03,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-m-l-articulacao-tamarack-dorsiflexao-durometro-75-par,"/M/L Articulação TAMARACK Dorsiflexão, durômetro 75 (par)","<p>/M/L Articulação TAMARACK Dorsiflexão, durômetro 75 (par) — distribuído pela minha prótese com nota fiscal e garantia de origem da ProKinetics.</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,,ProKinetics,TRUE,Código,742-75-P,742-75-P,shopify,0,deny,manual,,TRUE,TRUE,,"/M/L Articulação TAMARACK Dorsiflexão, durômetro 75 (par)",draft
prokinetics-m-l-articulacao-tamarack-dorsiflexao-durometro-75-par,,,,,,,,Código,742-85-P,742-85-P,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-m-l-articulacao-tamarack-dorsiflexao-durometro-75-par,,,,,,,,Código,742-95-P,742-95-P,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-estribo-bilateral-p-artic-w2825-aco-un,"Estribo bilateral p/artic. W2825, , aço (un)","<p>Estribo bilateral p/artic. W2825, , aço (un) — distribuído pela minha prótese com nota fiscal e garantia de origem da ProKinetics.</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,,ProKinetics,TRUE,Espessura,228 mm,2900-A9,shopify,0,deny,manual,,TRUE,TRUE,,"Estribo bilateral p/artic. W2825, , aço (un)",draft
prokinetics-estribo-bilateral-p-artic-w2825-aco-un,,,,,,,,Espessura,254 mm,2900-A10,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-estribo-bilateral-p-artic-slo2825-aco-un,"Estribo bilateral p/artic. SLO2825, , aço (un)","<p>Estribo bilateral p/artic. SLO2825, , aço (un) — distribuído pela minha prótese com nota fiscal e garantia de origem da ProKinetics.</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,,ProKinetics,TRUE,Espessura,228 mm,SL2900-A9,shopify,0,deny,manual,,TRUE,TRUE,,"Estribo bilateral p/artic. SLO2825, , aço (un)",draft
prokinetics-estribo-bilateral-p-artic-slo2825-aco-un,,,,,,,,Espessura,254 mm,SL2900-A10,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-estribo-bilateral-p-artic-3025-aco-un,"Estribo bilateral p/artic. 3025, , aço (un)","<p>Estribo bilateral p/artic. 3025, , aço (un) — distribuído pela minha prótese com nota fiscal e garantia de origem da ProKinetics.</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,,ProKinetics,TRUE,Espessura,216 mm,3000-A8,shopify,0,deny,manual,,TRUE,TRUE,,"Estribo bilateral p/artic. 3025, , aço (un)",draft
prokinetics-estribo-bilateral-p-artic-3025-aco-un,,,,,,,,Espessura,228 mm,3000-A9,shopify,0,deny,manual,,TRUE,TRUE,,,
