Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
prokinetics-liner-supreme-tt-6-mm-com-conex-revest-bege-un,"Liner SUPREME TT 6 mm com conex, revest. bege (un)","<p>-...-H Liner SUPREME TT 6 mm com conex, revest. bege (un) 1.602,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 4W9000-06</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,4W9000-06,shopify,0,deny,manual,,,TRUE,TRUE,,"Liner SUPREME TT 6 mm com conex, revest. bege (un)",draft
prokinetics-liner-supreme-tt-9-mm-com-conex-revest-bege-un,"Liner SUPREME TT 9 mm com conex, revest. bege (un)","<p>-...-H Liner SUPREME TT 9 mm com conex, revest. bege (un) 1.645,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 4W9000-09</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,4W9000-09,shopify,0,deny,manual,,,TRUE,TRUE,,"Liner SUPREME TT 9 mm com conex, revest. bege (un)",draft
prokinetics-liner-supreme-tt-9-mm-sem-conex-revest-bege-un,"Liner SUPREME TT 9 mm, sem conex, revest. bege (un)","<p>-...-H Liner SUPREME TT 9 mm, sem conex, revest. bege (un) 1.512,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 4W9500-06</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,4W9500-06,shopify,0,deny,manual,,,TRUE,TRUE,,"Liner SUPREME TT 9 mm, sem conex, revest. bege (un)",draft
prokinetics-liner-supreme-tt-6-mm-sem-conex-revest-bege-un,"Liner SUPREME TT 6 mm, sem conex, revest. bege (un)","<p>-...-H Liner SUPREME TT 6 mm, sem conex, revest. bege (un) 1.555,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 4W9500-09</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,4W9500-09,shopify,0,deny,manual,,,TRUE,TRUE,,"Liner SUPREME TT 6 mm, sem conex, revest. bege (un)",draft
prokinetics-liner-vacuum-tt-6-mm-sem-conex-revest-verde-un,"Liner VACUUM TT 6 mm, sem conex, revest. verde (un)","<p>e IL Liner VACUUM TT 6 mm, sem conex, revest. verde (un) 1.780,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 4W9700-06-L</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,4W9700-06-L,shopify,0,deny,manual,,,TRUE,TRUE,,"Liner VACUUM TT 6 mm, sem conex, revest. verde (un)",draft
prokinetics-liner-supreme-tf-3-mm-com-conex-revest-bege-un,"Liner SUPREME TF 3 mm com conex, revest. bege (un)","<p>-...-H Liner SUPREME TF 3 mm com conex, revest. bege (un) 1.735,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 4W90TF-03</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,4W90TF-03,shopify,0,deny,manual,,,TRUE,TRUE,,"Liner SUPREME TF 3 mm com conex, revest. bege (un)",draft
prokinetics-liner-supreme-tf-3-mm-sem-conex-revest-bege-un,"Liner SUPREME TF 3 mm sem conex, revest. bege (un)","<p>-...-H Liner SUPREME TF 3 mm sem conex, revest. bege (un) 1.512,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 4W95TF-03</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,4W95TF-03,shopify,0,deny,manual,,,TRUE,TRUE,,"Liner SUPREME TF 3 mm sem conex, revest. bege (un)",draft
prokinetics-45-55-acessorio-para-coto-transtibial-algodao-compr-35-45-55-cm-un,"/45/55 Acessório para coto transtibial, algodão, compr.35, 45, 55 cm (un)","<p>/45/55 Acessório para coto transtibial, algodão, compr.35, 45, 55 cm (un) 16,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 6M10-35</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,6M10-35,shopify,0,deny,manual,,,TRUE,TRUE,,"/45/55 Acessório para coto transtibial, algodão, compr.35, 45, 55 cm (un)",draft
prokinetics-m-l-articulacao-tamarack-dorsiflexao-durometro-75-par,"/M/L Articulação TAMARACK Dorsiflexão, durômetro 75 (par)","<p>/M/L Articulação TAMARACK Dorsiflexão, durômetro 75 (par) 269,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 742-75-P</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,742-75-P,shopify,0,deny,manual,,,TRUE,TRUE,,"/M/L Articulação TAMARACK Dorsiflexão, durômetro 75 (par)",draft
prokinetics-m-l-articulacao-tamarack-dorsiflexao-durometro-85-par,"/M/L Articulação TAMARACK Dorsiflexão, durômetro 85 (par)","<p>/M/L Articulação TAMARACK Dorsiflexão, durômetro 85 (par) 269,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 742-85-P</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,742-85-P,shopify,0,deny,manual,,,TRUE,TRUE,,"/M/L Articulação TAMARACK Dorsiflexão, durômetro 85 (par)",draft
prokinetics-m-l-articulacao-tamarack-dorsiflexao-durometro-95-par,"/M/L Articulação TAMARACK Dorsiflexão, durômetro 95 (par)","<p>/M/L Articulação TAMARACK Dorsiflexão, durômetro 95 (par) 269,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 742-95-P</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,742-95-P,shopify,0,deny,manual,,,TRUE,TRUE,,"/M/L Articulação TAMARACK Dorsiflexão, durômetro 95 (par)",draft
prokinetics-revestimento-anti-atrito-shearban-r-bege-un,Revestimento anti-atrito SHEARBAN® bege (un),"<p>Revestimento anti-atrito SHEARBAN® bege (un) 255,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 749S-BEIGE</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,749S-BEIGE,shopify,0,deny,manual,,,TRUE,TRUE,,Revestimento anti-atrito SHEARBAN® bege (un),draft
